Movie_ID,Title,Overview,Overview_WordCount,Genres,Director,Cast,Production_Company,Release_Date,Release_Year,Release_Month,Release_DayOfWeek,Runtime_Minutes,Budget_Local_Currency,Revenue_Local_Currency,Budget_Crores,Revenue_Crores,Profit_Local_Currency,ROI_Percent,Popularity_Score,Vote_Average,Vote_Count
371933,Thiruttu VCD,"Herp, unknownly get tasked to bring drugs in a vehicle. He assigns a team to act as a family. This was done to capture the don and other rowdies.",29,"Romance, Comedy",Kadhal Sukumar,"Prabha, Devadarshini, Sakshi Agarwal, Senthil",The Vibrant Movies,24-09-2015,2015,9,Thursday,117,0,0,0,0,0,0,1.0028,4,1
899746,Visithiran,"Following the death of his ex-wife, a retired police officer, who is known for his investigative prowess, unexpectedly gets pulled into a criminal case involving organ harvesting.",27,"Crime, Thriller",Padmakumar M,"R. K. Suresh, Poorna, Madhu Shalini, Bagavathi Perumal, G. Marimuthu",B Studios,06-05-2022,2022,5,Friday,123,0,0,0,0,0,0,0.8182,7.5,2
330425,Kanchana 2,A TV channel’s crew goes to a deserted beachside bungalow to stage a horror show but the place is actually haunted and the ghost(s) in the place possess the director and the cameraman in the team.,36,"Horror, Comedy",Raghava Lawrence,"Raghava Lawrence, Taapsee Pannu, Nithya Menen, Kovai Sarala, Renuka",Raghavendra Productions,17-04-2015,2015,4,Friday,168,0,0,0,0,0,0,1.0626,5.143,28
378229,Radiopetti,"Radiopetti, the story of a man lost in another world, a world of the past, brought alive to his ears by a radioset. How his life journeys with his love for this inanimate thing alongside his family and friends. Where will this love take him?",45,Drama,Hari Viswanath,"Lakshmanan, Ramanujam TVV, Shobana Mohan, Nivas Adithan",HarryToonz Studio,05-07-2015,2015,7,Sunday,83,0,0,0,0,0,0,0.9221,7.5,4
1062715,Sabdham,A paranormal investigator is employed by a university to investigate a series of mysterious deaths some are attributing to supernatural causes.,21,"Thriller, Horror",Arivazhagan Venkatachalam,"Aadhi Pinisetty, Lakshmi Menon, Redin Kingsley, Simran, Rajiv Menon",7G Films,28-02-2025,2025,2,Friday,146,208750000,0,20.88,0,0,0,1.0214,5.571,7
950260,Kurangu Pedal,"Set in the backdrop of 80s of Katheri village, Maariappan, a 12-year-old boy whose father is taunted by the villagers for not knowing to ride a cycle, deeply wishes to spend the summer holidays mastering the skill of riding a bicycle by renting one.",44,Drama,Kamalakannan,"Kaali Venkat, Jenson Dhivakar, Prasanna Balachandran, Santhosh Velmurugan, Gnanasekan",Katha Kelu Entertainment,24-05-2024,2024,5,Friday,119,0,0,0,0,0,0,1.2072,0,0
1495790,Bun Butter Jam,"Two mothers, disillusioned by failed marriages, team up to orchestrate a master plan to unite their freshman kids, Chandru and Madhu. But things get muddied when their Gen Z kids have other plans, leading to a clash of wills and generational divide.",42,"Romance, Comedy, Drama",Raghav Mirdath,"Raju Jeyamohan, Aadhya Prasad, Bhavya Trikha, Charle, Saranya Ponvannan",Unknown,18-07-2025,2025,7,Friday,147,0,0,0,0,0,0,0.6494,5,0
865539,Dikkiloona,"Frustrated with his troubled married life, a man goes back in time to stop his marriage from ever happening.",19,"Comedy, Romance, Science Fiction",Karthik Yogi,"Santhanam, Yogi Babu, Anagha, Shirin Kanchwala, Harbhajan Singh",KJR Studios,10-09-2021,2021,9,Friday,144,0,0,0,0,0,0,0.9241,5,10
768529,Theeviram,,0,"Drama, Thriller",Michael Muthu,"Amzath Khan, Arjun Chidambaram, Gokul Anand, Gautham Vasudev Menon, Sharath Ravi",Unknown,26-11-2020,2020,11,Thursday,0,0,0,0,0,0,0,0.8858,0,0
539315,Dev,A youngster who has to fight against all the odds in order to achieve his desires.,16,"Romance, Action",Rajath Ravishankar,"Karthi, Rakul Preet Singh, Prakash Raj, Ramya Krishnan, Nikki Galrani",Prince Pictures,14-02-2019,2019,2,Thursday,155,0,0,0,0,0,0,0.8751,4.947,19
